"year" "julian.day" "wild" "river.age" "sea.age" "length" "weight" "sea.lice" "river" "country" "sex"
"487" 2002 166 FALSE 1 1 77.3 3.39 FALSE "oir" "fr" "M"
"492" 2002 85 TRUE 1 2 85.7 5.48 TRUE "oir" "fr" "F"
"493" 2009 109 FALSE 1 3 88.8 4.86 FALSE "oir" "fr" "F"
"502" 2015 110 FALSE 1 2 65.2 2 FALSE "oir" "fr" "F"
"510" 2002 146 FALSE 1 1 54.6 1.04 FALSE "oir" "fr" "M"
"543" 2015 187 FALSE 1 1 58.2 1.26 FALSE "oir" "fr" "M"
"560" 2017 187 FALSE 1 1 57.4 1.12 FALSE "oir" "fr" "M"
"575" 2009 113 FALSE 1 2 79.1 3.58 FALSE "oir" "fr" "F"
"580" 2004 128 FALSE 1 2 85.4 4.4 TRUE "oir" "fr" "F"
"591" 2006 105 TRUE 1 2 77.5 4.19 FALSE "oir" "fr" "M"
"598" 2012 158 FALSE 1 1 66.2 2.17 FALSE "oir" "fr" "F"
"605" 2015 187 FALSE 1 1 64.5 1.67 FALSE "oir" "fr" "F"
"612" 2015 116 FALSE 1 3 75.4 3.03 FALSE "oir" "fr" "F"
"613" 2002 93 TRUE 1 2 80.2 3.83 TRUE "oir" "fr" "F"
"630" 2005 151 TRUE 1 1 63.5 2 FALSE "oir" "fr" "F"
"649" 2001 122 FALSE 1 3 91.3 4.68 FALSE "oir" "fr" "F"
"653" 2000 91 TRUE 2 2 76.2 3.89 FALSE "oir" "fr" "M"
"663" 2007 89 TRUE 2 2 78.6 3.6 FALSE "oir" "fr" "F"
"673" 2002 99 FALSE 2 2 78.9 4.03 FALSE "oir" "fr" "F"
"693" 2009 161 FALSE 1 1 62.6 1.86 FALSE "oir" "fr" "M"
"698" 2015 160 TRUE 2 1 64.5 2.69 FALSE "oir" "fr" "F"
"718" 2014 99 TRUE 3 2 82.6 4.45 FALSE "oir" "fr" "F"
"744" 2004 138 TRUE 1 1 60.8 2.03 FALSE "oir" "fr" "M"
"753" 2004 112 TRUE 2 2 75.6 3.91 FALSE "oir" "fr" "F"
"755" 2003 123 FALSE 1 2 80.1 3.14 FALSE "oir" "fr" "F"
"796" 2001 151 FALSE 1 1 58.1 1.35 FALSE "oir" "fr" "M"
"802" 2009 108 FALSE 1 2 NA 3.46 FALSE "oir" "fr" "F"
"815" 2000 100 TRUE 1 2 80.4 4.12 FALSE "oir" "fr" "F"
"831" 2005 107 FALSE 1 2 74.9 3 FALSE "oir" "fr" "F"
"841" 2005 160 FALSE 1 1 72.7 2.5 FALSE "oir" "fr" "M"
"844" 2007 107 FALSE 1 3 83.8 3.65 FALSE "oir" "fr" "F"
"857" 2003 106 TRUE 1 2 83.2 4.77 FALSE "oir" "fr" "M"
"865" 2015 138 TRUE 1 1 61.8 2.14 FALSE "oir" "fr" "M"
"868" 2015 165 FALSE 1 1 58 1.17 FALSE "oir" "fr" "F"
"875" 2001 87 FALSE 1 2 79 3.15 FALSE "oir" "fr" "M"
"878" 2005 95 FALSE 2 2 81.3 3.1 FALSE "oir" "fr" "F"
"879" 2000 102 FALSE 2 2 80.1 2.84 FALSE "oir" "fr" "F"
"888" 2001 143 TRUE 1 1 71.2 3.1 FALSE "oir" "fr" "M"
"904" 2017 134 FALSE 1 4 83.5 3.77 FALSE "oir" "fr" "F"
"910" 2008 121 FALSE 1 2 80.1 3.25 FALSE "oir" "fr" "F"
"914" 2007 132 TRUE 1 1 59.5 1.76 FALSE "oir" "fr" "M"
"924" 2006 112 FALSE 2 4 97.4 6.21 TRUE "oir" "fr" "F"
"934" 2002 114 FALSE 1 2 76.9 3.34 FALSE "oir" "fr" "F"
"937" 2009 106 FALSE 1 2 81.6 3.82 FALSE "oir" "fr" "F"
"951" 2004 93 TRUE 1 2 67.8 2.82 FALSE "oir" "fr" "F"
"958" 2009 112 FALSE 1 2 83.6 3.73 FALSE "oir" "fr" "F"
"959" 2004 139 TRUE 1 1 64 2.32 FALSE "oir" "fr" "F"
"967" 2000 133 FALSE 1 1 66.3 2 FALSE "oir" "fr" "F"
"992" 2012 129 FALSE 1 2 69.1 2.4 TRUE "oir" "fr" "F"
"995" 2002 100 FALSE 1 3 81.3 3.4 FALSE "oir" "fr" "F"
"1000" 2003 98 TRUE 2 2 75.6 3.73 FALSE "oir" "fr" "F"
"1001" 2011 89 TRUE 1 2 79.1 3.66 FALSE "oir" "fr" "F"
"1006" 2016 107 FALSE 1 3 NA 3.48 FALSE "oir" "fr" "F"
"1008" 2005 103 TRUE 1 2 74.3 3.48 FALSE "oir" "fr" "F"
"1022" 2000 147 TRUE 2 1 72.5 3.41 FALSE "oir" "fr" "M"
"1029" 2010 85 TRUE 1 2 79.1 3.57 FALSE "oir" "fr" "F"
"1043" 2011 110 TRUE 2 2 72.3 2.55 FALSE "oir" "fr" "F"
"1045" 2007 136 TRUE 2 1 59.2 1.61 FALSE "oir" "fr" "M"
"1055" 2002 107 FALSE 1 2 74.1 2.97 FALSE "oir" "fr" "F"
"1060" 2004 171 FALSE 1 1 63.5 1.95 FALSE "oir" "fr" "M"
"1062" 2000 167 FALSE 1 1 72.9 2.59 FALSE "oir" "fr" "F"
"1070" 2003 90 TRUE 2 2 82.5 4.33 TRUE "oir" "fr" "M"
"1073" 2004 123 FALSE 1 2 75.5 2.64 FALSE "oir" "fr" "F"
"1083" 2004 105 FALSE 1 2 75.2 3.22 FALSE "oir" "fr" "F"
"1103" 2000 94 TRUE 2 4 92.5 5.96 FALSE "oir" "fr" "F"
"1104" 2005 97 FALSE 1 2 83.9 3.68 FALSE "oir" "fr" "F"
"1105" 2003 121 FALSE 2 2 80.8 3.65 FALSE "oir" "fr" "F"
"1106" 2013 139 TRUE 2 1 64.7 2.27 FALSE "oir" "fr" "M"
"1112" 2001 78 TRUE 2 2 78.1 3.87 FALSE "oir" "fr" "F"
"1120" 2000 116 FALSE 1 2 73.8 2.81 FALSE "oir" "fr" "F"
"1124" 2012 130 FALSE 2 2 80.9 3.98 TRUE "oir" "fr" "M"
"1127" 2011 142 TRUE 1 1 65.8 2.31 FALSE "oir" "fr" "F"
"1134" NA 96 TRUE 1 2 72.7 3.33 FALSE "oir" "fr" "F"
"1149" 2003 82 TRUE 3 2 72.4 2.83 FALSE "oir" "fr" "F"
"1179" 2017 104 TRUE 1 4 88.1 5.86 TRUE "oir" "fr" "F"
"1181" 2014 142 TRUE 1 1 56.5 1.31 FALSE "oir" "fr" "M"
"1182" 2010 175 FALSE 2 1 64.7 1.94 TRUE "oir" "fr" "F"
"1196" 2012 135 FALSE 2 2 77.6 3.46 FALSE "oir" "fr" "F"
"1205" 2002 126 TRUE 3 1 70.3 2.65 FALSE "oir" "fr" "F"
"1221" 2005 162 FALSE 1 1 68.3 1.96 FALSE "oir" "fr" "M"
"1227" 2008 407 TRUE 2 2 66.6 2.26 FALSE "oir" "fr" "F"
"1231" 2011 96 TRUE 2 3 91.2 6.67 FALSE "oir" "fr" "F"
"1236" 2006 119 FALSE 1 2 77.8 3.02 FALSE "oir" "fr" "F"
"1238" 2015 101 TRUE 2 3 87.5 5.39 FALSE "oir" "fr" "F"
"1243" 2008 105 TRUE 1 2 82.6 4.97 FALSE "oir" "fr" "F"
"1255" 2002 155 TRUE 1 1 67.9 2.86 FALSE "oir" "fr" "M"
"1273" 2002 108 FALSE 1 2 87.9 4.57 FALSE "oir" "fr" "F"
"1279" 2006 147 TRUE 2 1 62.9 1.92 FALSE "oir" "fr" "M"
"1288" 2009 173 FALSE 1 1 60.8 1.62 FALSE "oir" "fr" "M"
"1291" 2003 162 TRUE 2 1 64.9 2.18 FALSE "oir" "fr" "F"
"1310" 2013 118 FALSE 1 2 79.3 3.42 FALSE "oir" "fr" "F"
"1313" 2004 87 TRUE 1 3 90.4 6.72 TRUE "oir" "fr" "F"
"1326" 2001 115 FALSE 1 3 83.3 3.65 FALSE "oir" "fr" "F"
"1341" 2003 106 FALSE 1 3 89.1 5.66 TRUE "oir" "fr" "F"
"1347" 2007 157 FALSE 1 1 67.8 2.04 FALSE "oir" "fr" "M"
"1349" 2001 96 TRUE 2 2 79.5 4.27 FALSE "oir" "fr" "F"
"1370" 2008 160 TRUE 1 1 70.2 3.2 FALSE "oir" "fr" "F"
"1371" 2002 100 TRUE 1 2 93 5.72 FALSE "oir" "fr" "F"
"1386" 2005 126 FALSE 1 4 85.6 3.47 FALSE "oir" "fr" "F"
"1387" 2004 140 TRUE 1 1 61.7 1.95 FALSE "oir" "fr" "F"
"1401" 2010 115 TRUE 2 3 84.7 5.94 FALSE "oir" "fr" "M"
"1408" 2012 159 FALSE 2 1 71.5 2.66 FALSE "oir" "fr" "F"
"1415" 2010 172 FALSE 1 1 74.6 2.8 FALSE "oir" "fr" "M"
"1422" 2003 152 TRUE 2 1 64.1 2.42 FALSE "oir" "fr" "M"
"1432" 2003 115 FALSE 1 2 77.9 3.48 FALSE "oir" "fr" "M"
"1440" 2002 109 FALSE 1 4 97.8 6.16 TRUE "oir" "fr" "F"
"1458" 2010 147 TRUE 2 1 72.8 2.98 FALSE "oir" "fr" "F"
"1464" 2017 138 FALSE 1 3 82.3 3.47 FALSE "oir" "fr" "F"
"1472" 2011 179 FALSE 1 1 70.8 2.31 FALSE "oir" "fr" "M"
"1479" 2002 108 FALSE 1 2 78 3.42 FALSE "oir" "fr" "F"
"1480" 2008 107 FALSE 1 2 74.9 3.3 FALSE "oir" "fr" "F"
"1482" 2014 92 TRUE 2 2 70.8 3.28 FALSE "oir" "fr" "F"
"1503" 2010 113 TRUE 1 2 79.1 4.69 FALSE "oir" "fr" "F"
"1505" 2017 114 FALSE 2 3 86.2 4.35 FALSE "oir" "fr" "F"
"1516" 2009 167 FALSE 1 1 60 1.29 FALSE "oir" "fr" "M"
"1520" 2007 170 FALSE 1 1 71.1 2.39 FALSE "oir" "fr" "M"
"1541" 2008 168 FALSE 2 1 72.7 2.69 FALSE "oir" "fr" "M"
"1547" 2010 107 FALSE 1 3 88.4 5.35 TRUE "oir" "fr" "F"
"1554" 2000 107 FALSE 2 2 81.3 4.18 FALSE "oir" "fr" "F"
"1555" 2002 158 FALSE 1 1 58.1 1.31 FALSE "oir" "fr" "F"
"1575" 2008 117 FALSE 1 4 102.1 8.2 FALSE "oir" "fr" "F"
"1606" 2005 109 TRUE 2 2 77.8 4.07 FALSE "oir" "fr" "F"
"1620" 2009 104 TRUE 2 2 78.6 4.41 FALSE "oir" "fr" "F"
"1622" 2005 94 TRUE 2 4 101.4 7.66 FALSE "oir" "fr" "F"
"1629" 2000 100 FALSE 1 2 73 2.41 FALSE "oir" "fr" "M"
"1632" 2010 152 TRUE 1 1 66.8 3.03 FALSE "oir" "fr" "F"
"1639" 2003 119 FALSE 1 2 78.7 3.55 FALSE "oir" "fr" "F"
"1642" 2000 110 FALSE 2 2 79.3 3.91 FALSE "oir" "fr" "F"
"1644" 2008 90 TRUE 2 2 84.5 4.4 FALSE "oir" "fr" "F"
"1645" 2007 157 FALSE 2 1 63.9 1.66 FALSE "oir" "fr" "M"
"1647" 2008 132 FALSE 2 3 88.3 3.87 TRUE "oir" "fr" "F"
"1648" 2010 156 FALSE 1 1 64 1.94 FALSE "oir" "fr" "F"
"1658" 2011 107 FALSE 1 2 76.9 2.76 FALSE "oir" "fr" "F"
"1675" 2006 102 FALSE 2 4 91.2 5.68 FALSE "oir" "fr" "M"
"1677" 2006 100 TRUE 2 2 72.7 3.14 FALSE "oir" "fr" "F"
"1678" 2010 95 TRUE 1 4 89.7 5.41 TRUE "oir" "fr" "F"
"1679" 2000 145 TRUE 2 1 64.9 2.54 FALSE "oir" "fr" "M"
"1683" 2004 154 FALSE 1 1 72.3 2.46 FALSE "oir" "fr" "M"
"1684" 2006 112 FALSE 1 2 84.4 4.29 FALSE "oir" "fr" "F"
"1693" 2012 104 TRUE 1 3 89.3 6.08 FALSE "oir" "fr" "F"
"1694" 2007 98 TRUE 2 2 70.9 2.48 FALSE "oir" "fr" "F"
"1701" 2008 101 TRUE 2 3 82 4.56 FALSE "oir" "fr" "F"
"1719" 2005 93 TRUE 1 2 75.7 3.68 FALSE "oir" "fr" "M"
"1721" 2000 104 TRUE 3 2 81 4.56 TRUE "oir" "fr" "F"
"1723" 2006 108 FALSE 1 2 77.6 2.94 FALSE "oir" "fr" "M"
"1724" 2014 105 FALSE 1 2 65.9 1.74 FALSE "oir" "fr" "M"
"1728" 2002 90 TRUE 1 2 80.1 4.44 FALSE "oir" "fr" "F"
"1729" 2012 151 FALSE 1 1 67.8 1.9 FALSE "oir" "fr" "M"
"1743" 2013 130 TRUE 2 1 57.3 1.62 FALSE "oir" "fr" "M"
"1744" 2004 90 TRUE 1 2 81.4 4.23 FALSE "oir" "fr" "F"
"1745" 2009 136 TRUE 2 1 71.6 2.89 FALSE "oir" "fr" "F"
"1753" 2010 152 TRUE 2 1 70.8 3.01 FALSE "oir" "fr" "F"
"1754" 2015 148 TRUE 3 1 63.8 2.23 FALSE "oir" "fr" "M"
"NA" NA NA NA NA NA NA NA NA NA NA NA
"1761" 2001 161 FALSE 1 1 75.5 3.24 FALSE "oir" "fr" "M"
"1762" 2010 105 FALSE 2 2 81.3 3.09 FALSE "oir" "fr" "F"
"1766" 2015 163 FALSE 1 1 63.3 1.73 FALSE "oir" "fr" "M"
"1768" 2009 122 FALSE 1 2 84.8 3.4 FALSE "oir" "fr" "F"
"1776" 2008 121 FALSE 1 2 86.1 4.28 FALSE "oir" "fr" "F"
"1780" 2014 107 TRUE 1 2 74.6 3.51 TRUE "oir" "fr" "M"
"1782" 2009 153 TRUE 1 1 69.3 2.93 FALSE "oir" "fr" "F"
"1793" 2011 145 TRUE 1 1 76.7 3.72 FALSE "oir" "fr" "F"
"1798" 2003 112 FALSE 1 4 97 5.74 FALSE "oir" "fr" "F"
"1807" 2003 111 FALSE 1 2 81.4 3.62 FALSE "oir" "fr" "M"
"1819" 2007 109 FALSE 1 2 72 2.72 FALSE "oir" "fr" "F"
"1833" 2004 114 FALSE 1 2 80.6 3.97 FALSE "oir" "fr" "F"
"1858" 2012 100 TRUE 1 2 73 3.37 FALSE "oir" "fr" "F"
"1860" 2000 157 FALSE 1 1 69 2.48 FALSE "oir" "fr" "F"
"1874" 2006 156 FALSE 1 1 67.2 1.95 FALSE "oir" "fr" "M"
"1876" 2005 159 FALSE 1 1 67.8 1.95 FALSE "oir" "fr" "M"
"1878" 2000 155 TRUE 1 1 64.1 1.75 FALSE "oir" "fr" "M"
"1879" 2000 149 TRUE 1 1 78.6 3.84 FALSE "oir" "fr" "F"
"1883" 2004 154 FALSE 2 1 67.2 2.11 FALSE "oir" "fr" "M"
"1886" 2008 157 FALSE 1 1 73.4 3.03 FALSE "oir" "fr" "M"
"1889" 2000 93 TRUE 1 2 71.6 2.91 FALSE "oir" "fr" "F"
"1897" 2006 109 FALSE 1 2 81.7 4.25 FALSE "oir" "fr" "F"
"1898" 2015 177 FALSE 1 1 68.5 1.81 FALSE "oir" "fr" "F"
"1911" 2006 140 TRUE 2 1 68.3 2.46 FALSE "oir" "fr" "M"
"1912" 2008 96 TRUE 2 2 84 4.17 FALSE "oir" "fr" "F"
"1913" 2008 93 TRUE 2 2 73 3.73 FALSE "oir" "fr" "F"
"1927" 2013 168 FALSE 1 1 57.8 1.24 FALSE "oir" "fr" "M"
"1939" 2000 81 TRUE 1 2 84.8 4.55 FALSE "oir" "fr" "F"
"1944" 2008 160 FALSE 1 1 66.2 1.77 FALSE "oir" "fr" "M"
"1955" 2000 95 FALSE 2 2 88.5 4.03 FALSE "oir" "fr" "M"
"1962" 2000 105 TRUE 2 2 77.3 3.36 FALSE "oir" "fr" "M"
"1975" 2000 110 FALSE 1 2 81.3 3.65 FALSE "oir" "fr" "F"
"1976" 2001 87 FALSE 1 3 91.2 5.36 FALSE "oir" "fr" "M"
"1978" 2015 116 FALSE 1 4 80.3 2.94 FALSE "oir" "fr" "M"
"1987" 2004 166 FALSE 2 1 68 2.26 TRUE "oir" "fr" "M"
"1988" 2013 167 FALSE 2 1 67.1 2.11 FALSE "oir" "fr" "F"
"2007" 2005 94 TRUE 1 2 79.4 4.02 FALSE "oir" "fr" "F"
"2010" 2015 95 TRUE 1 4 87.8 5.63 FALSE "oir" "fr" "F"
"2013" 2012 120 TRUE 1 2 74.4 3.71 FALSE "oir" "fr" "F"
"2022" 2000 147 FALSE 1 1 62.3 1.45 FALSE "oir" "fr" "M"
"2031" 2012 154 TRUE 2 1 58.9 1.63 FALSE "oir" "fr" "M"
"2038" 2001 104 TRUE 3 2 77.7 3.83 FALSE "oir" "fr" "M"
"2043" 2004 152 TRUE 1 1 63.8 2.14 FALSE "oir" "fr" "M"
"2058" 2002 106 FALSE 1 3 86.8 4.35 FALSE "oir" "fr" "M"
"2059" 2002 99 FALSE 1 2 77.7 3.18 FALSE "oir" "fr" "F"
"2077" 2000 93 TRUE 2 2 78.1 3.93 FALSE "oir" "fr" "F"
"2090" 2000 104 FALSE 1 2 76.5 3.06 FALSE "oir" "fr" "F"
"2113" 2005 139 FALSE 1 1 57 1.34 FALSE "oir" "fr" "M"
"2162" 2001 158 FALSE 1 1 60.9 1.27 FALSE "oir" "fr" "M"
"2165" 2009 143 TRUE 2 1 60.5 1.85 FALSE "oir" "fr" "M"
"2173" 2009 112 TRUE 1 2 70.1 2.91 FALSE "oir" "fr" "F"
"2192" 2000 103 FALSE 1 2 82.4 3.25 FALSE "oir" "fr" "F"
"2211" 2006 160 FALSE 1 1 54.8 1.11 FALSE "oir" "fr" "M"
"2240" 2007 86 TRUE 2 3 78.3 4.58 FALSE "oir" "fr" "M"
"2252" 2012 107 FALSE 1 2 70.8 2.28 FALSE "oir" "fr" "F"
"2256" 2000 104 FALSE 1 2 71.1 2.93 FALSE "oir" "fr" "F"
"2263" 2006 155 FALSE 1 1 68.7 2.23 FALSE "oir" "fr" "F"
"2282" 2016 153 TRUE 1 1 57.5 1.48 FALSE "oir" "fr" "F"
"2283" 2001 109 FALSE 1 2 77.9 2.66 FALSE "oir" "fr" "F"
"2287" 2014 95 TRUE 2 2 76.6 3.52 TRUE "oir" "fr" "M"
"2296" 2005 127 FALSE 1 2 74.1 2.79 FALSE "oir" "fr" "F"
"2308" 2000 103 FALSE 2 2 79.9 3.4 FALSE "oir" "fr" "M"
"2309" 2005 152 TRUE 1 1 59.2 1.75 FALSE "oir" "fr" "F"
"2324" 2011 145 TRUE 2 1 61.5 1.8 FALSE "oir" "fr" "M"
"2328" 2011 167 FALSE 1 1 63.2 2.17 FALSE "oir" "fr" "M"
"2348" 2005 101 FALSE 1 2 78 3.09 FALSE "oir" "fr" "M"
"2349" 2006 102 TRUE 1 4 87.6 5.35 FALSE "oir" "fr" "M"
"2358" 2009 136 FALSE 1 1 64.1 2.14 FALSE "oir" "fr" "F"
"2363" 2000 99 TRUE 3 4 85.4 4.28 TRUE "oir" "fr" "F"
"2369" 2002 122 FALSE 1 2 86.4 4.72 FALSE "oir" "fr" "F"
"2391" 2004 115 FALSE 1 2 73.7 2.59 FALSE "oir" "fr" "F"
"2393" 2008 107 TRUE 2 2 71.5 3.26 FALSE "oir" "fr" "F"
"2395" 2010 170 FALSE 1 1 62.9 1.61 FALSE "oir" "fr" "F"
"2401" 2001 103 FALSE 1 4 92.9 5.17 FALSE "oir" "fr" "F"
"2406" 2002 95 TRUE 2 2 81.1 4 FALSE "oir" "fr" "F"
"2407" 2017 105 TRUE 1 2 73.1 2.84 FALSE "oir" "fr" "F"
"2412" 2000 143 TRUE 2 1 70.1 3.07 FALSE "oir" "fr" "M"
"2433" 2012 177 FALSE 1 1 63 1.47 FALSE "oir" "fr" "F"
"2436" 2006 138 TRUE 3 1 65.1 2.37 FALSE "oir" "fr" "F"
"2457" 2003 91 TRUE 1 2 75.9 3.44 FALSE "oir" "fr" "F"
"2461" 2015 174 FALSE 1 1 65.6 2.13 FALSE "oir" "fr" "M"
"2470" 2008 148 TRUE 2 1 68.6 2.76 FALSE "oir" "fr" "M"
"2482" 2014 103 FALSE 1 4 90.9 5.4 TRUE "oir" "fr" "M"
"2496" 2001 98 FALSE 1 2 78.7 2.87 FALSE "oir" "fr" "F"
"2498" 2006 123 FALSE 2 2 88.2 4.33 FALSE "oir" "fr" "F"
"2508" 2001 145 TRUE 2 1 72 3.63 FALSE "oir" "fr" "M"
"2514" 2002 96 TRUE 1 3 86.2 4.98 FALSE "oir" "fr" "F"
"2569" 2004 91 TRUE 2 2 80.5 4.12 FALSE "oir" "fr" "F"
"2573" 2017 124 FALSE 1 2 70.3 2.44 TRUE "oir" "fr" "F"
"2574" 2008 127 FALSE 2 3 91 5.24 FALSE "oir" "fr" "F"
"2580" 2004 88 FALSE 1 3 84.4 3.51 TRUE "oir" "fr" "M"
"2581" 2015 176 FALSE 1 1 58.6 1.42 FALSE "oir" "fr" "M"
"2592" 2017 111 FALSE 1 2 78.9 3.77 FALSE "oir" "fr" "M"
"2596" 2011 144 TRUE 2 1 75.7 3.51 TRUE "oir" "fr" "F"
"2605" 2009 97 TRUE 2 2 77.3 4.01 FALSE "oir" "fr" "M"
"2611" 2011 152 TRUE 1 1 60.7 1.92 FALSE "oir" "fr" "F"
"2618" 2017 171 FALSE 1 1 65.6 2.22 FALSE "oir" "fr" "M"
"2619" 2006 117 FALSE 1 2 81.6 4.02 FALSE "oir" "fr" "F"
"2630" 2008 113 FALSE 1 2 83 4.51 FALSE "oir" "fr" "F"
"2636" 2002 102 TRUE 1 2 66.5 2.18 FALSE "oir" "fr" "M"
"2637" 2002 103 TRUE 1 4 85.3 5.09 TRUE "oir" "fr" "M"
"2639" 2017 95 TRUE 2 2 78.3 3.76 FALSE "oir" "fr" "F"
"2659" 2005 113 FALSE 1 2 88.3 5.04 TRUE "oir" "fr" "F"
"2665" 2017 132 FALSE 2 2 71.1 2.51 FALSE "oir" "fr" "M"
"2682" 2000 102 FALSE 1 2 81.3 4.05 FALSE "oir" "fr" "F"
"2698" 2001 78 TRUE 2 2 75.8 3.69 FALSE "oir" "fr" "F"
"2703" 2008 112 FALSE 1 2 88.8 4.64 FALSE "oir" "fr" "M"
"2712" 2004 139 TRUE 2 1 65.3 2.18 FALSE "oir" "fr" "M"
"2715" 2008 134 TRUE 3 1 68.4 2.34 FALSE "oir" "fr" "F"
"2720" 2005 163 FALSE 1 1 57.4 1.07 FALSE "oir" "fr" "M"
"2732" 2011 169 FALSE 3 1 70.8 2.45 FALSE "oir" "fr" "M"
"2737" 2005 158 FALSE 1 1 65.8 2.1 FALSE "oir" "fr" "M"
"2763" 2011 167 TRUE 2 1 61.8 1.93 FALSE "oir" "fr" "M"
"2766" 2014 95 TRUE 1 2 71.7 3.04 FALSE "oir" "fr" "F"
"2767" 2006 158 FALSE 1 1 68.5 2.88 TRUE "oir" "fr" "M"
"2784" 2006 115 FALSE 1 3 92.9 4.51 FALSE "oir" "fr" "F"
"2797" 2008 140 TRUE 1 1 68.6 2.15 FALSE "oir" "fr" "F"
"2826" 2004 152 TRUE 2 1 73.2 3.28 FALSE "oir" "fr" "F"
"2831" 2001 77 TRUE 2 2 70.5 3.01 FALSE "oir" "fr" "F"
"2837" 2007 131 FALSE 1 2 77.4 2.99 FALSE "oir" "fr" "F"
"2851" 2001 140 TRUE 2 1 NA 2.34 FALSE "oir" "fr" "F"
"2862" 2004 167 FALSE 1 1 69 2.51 FALSE "oir" "fr" "M"
"2876" 2014 108 FALSE 1 2 76.2 3.59 FALSE "oir" "fr" "F"
"2885" 2001 147 FALSE 1 1 71.1 2.34 FALSE "oir" "fr" "M"
"2888" 2008 112 FALSE 2 2 75.8 2.76 FALSE "oir" "fr" "F"
"2892" 2013 121 FALSE 1 2 79.1 3.45 TRUE "oir" "fr" "F"
"2893" 2002 90 TRUE 1 2 90.8 7.33 FALSE "oir" "fr" "F"
